2018-01-17 17:32:27 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:32:57 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:38:40 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:38:41 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //a[@class='login']]
2018-01-17 17:38:41 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: email]
2018-01-17 17:38:41 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: passwd]
2018-01-17 17:39:12 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 17:39:13 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //*[@title='Log me out']]
2018-01-17 17:39:19 INFO  HomePage:68 - clicked on log out button 
2018-01-17 17:39:19 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 17:39:19 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:39:25 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //a[@class='login']]
2018-01-17 17:39:25 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: email]
2018-01-17 17:39:25 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: passwd]
2018-01-17 17:40:01 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 17:40:01 INFO  HomePage:59 - logout is displayed and object is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //*[@title='Log me out']]
2018-01-17 17:40:02 INFO  HomePage:68 - clicked on log out button 
2018-01-17 17:40:02 INFO  TC003_VerifyLoginWithDifferentRecords:55 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 17:40:02 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:40:03 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> xpath: //a[@class='login']]
2018-01-17 17:40:03 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: email]
2018-01-17 17:40:04 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (bf48c0d169194a84e4648aeba30e9544)] -> id: passwd]
